external_id,name,lat,lon,district,city,police_station,department_code,camera_type_guess,location_confidence,location_source,notes
cam20,"20 Mohanpura",23.59712,72.95883,Sabarkantha,Himatnagar (district HQ placeholder),,PANCHAYAT,bullet,guess,district-hq-fallback,"Only Gujarat village of this name found is Mohanpura, Idar taluka, Sabarkantha (Fagol gram panchayat, ~34 km N of Himatnagar); it is absent from OSM/GeoNames so the district HQ Himatnagar is used. District itself unconfirmed. PANCHAYAT: village-name-only camera, likely gram panchayat CCTV."
cam21,"23 Patan Dethali Char Rasta",23.91661,72.36115,Patan,Siddhpur,Siddhpur,POLICE,ptz,exact,osm-nominatim,"OSM 'Dethali Circle' on the Patan-Siddhpur highway (Dethali Char Rasta, Siddhpur 384151; HDFC branch and bus drop point named after it). POLICE: highway junction."
cam22,"28 BK Mervada tran Rasta",24.17098,72.43664,Banaskantha,Palanpur (district HQ placeholder),,POLICE,bullet,guess,district-hq-fallback,"BK = Banaskantha. Merwada (Ratanpur) village, Palanpur taluka, ~15 km from Palanpur (villageinfo) is the only match; not in OSM/GeoNames, so district HQ Palanpur used. 'tran rasta' = three-way junction. POLICE: junction camera."
cam23,"30 kheram",20.63136,73.09512,Navsari,Khergam,Khergam,PANCHAYAT,bullet,guess,osm-nominatim,"'kheram' read as Khergam (taluka town, Navsari; OSM town node). Alternative: Kharel village, Gandevi taluka (20.8615,73.0587) on the Bilimora-NH48 road. Grouped with the other Navsari village cameras; PANCHAYAT by analogy with cam19 (could be POLICE if it is a taluka-town junction)."
cam24,"33 dehgam",23.16819,72.82233,Gandhinagar,Dehgam,Dehgam,POLICE,ptz,approx,osm-nominatim,"OSM town node Dahegam (Dehgam), Gandhinagar district 382305; exact pole unknown. (Alternative reading 'Degam' village in Navsari not used, per team guidance.) POLICE: town surveillance."
cam25,"34 dhanori",20.83886,73.02396,Navsari,Dhanori (Gandevi taluka),Gandevi,PANCHAYAT,bullet,approx,osm-nominatim,"OSM 'Civil Hospital, Dhanori' on SH703, Gandevi taluka, Navsari 396360 - used as village centre. PANCHAYAT by analogy with cam19 (same taluka programme)."
cam26,"35 TANKAL",20.86059,73.13062,Navsari,Tankal (Chikhli taluka),Chikhli,PANCHAYAT,bullet,approx,osm-nominatim,"OSM 'PHC, Tankal' on SH177/703, Chikhli taluka, Navsari 396430 - used as village centre. PANCHAYAT by analogy with cam19."
cam27,"36 bilimora",20.76664,72.97001,Navsari,Bilimora,Bilimora,POLICE,dome,exact,osm-nominatim,"Three identical 'bilimora' names split across distinct town landmarks. This one: OSM Bilimora Junction railway station (SH15). POLICE: station-front surveillance."
cam28,"37 bilimora",20.76864,72.97072,Navsari,Bilimora,Bilimora,GSRTC,dome,exact,osm-overpass,"OSM way 508012278 'GSRTC bus depot' Bilimora (bus_station). GSRTC: bus stand."
cam29,"38 bilimora",20.76700,72.97670,Navsari,Bilimora,Bilimora,MUNICIPAL,bullet,approx,derived,"Town main road ~0.7 km east of the railway station (OSM hospital cluster along the main road) chosen as a distinct third point; no named junction in OSM. MUNICIPAL: Bilimora nagarpalika main road."
cam30,"Gandhidham Rambaugh p2",23.07550,70.09993,Kutch,Gandhidham (Adipur),Adipur,POLICE,bullet,approx,osm-nominatim,"Rambaug (Ram Bagh) Road area, Adipur-Gandhidham 370205, near Rotary Circle; point = OSM Rambagh Hospital. 'p2' = pole 2. POLICE: road-side surveillance; if it is the Rambaug Government Hospital camera the department would be HEALTH."
